279,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,22-000,2004,15,4,431,4.8,0,0,0,0,0,0,4,0,0,0,0,0,5,13,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
280,Jayden Bogle,eng ENG,DF,Leeds United,eng Premier League,25-162,2000,19,18,"1,580",17.6,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.8,32,49,65,0,0.06,0.06,0,0.06,0.07,0.04,0.1,0.07,0.1,Matches
281,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23-197,2002,6,4,363,4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,9,25,13,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
282,Morgan Bokelé Mputu,cm CMR,"FW,DF",Metz,fr Ligue 1,21-298,2004,9,1,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,12,11,13,0,0,0,0,0,0.14,0.04,0.17,0.14,0.17,Matches
283,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,27-014,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,4,3,0,0,0,0,0,0,0.16,0.02,0.18,0.16,0.18,Matches
284,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25-281,2000,2,2,145,1.6,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28-229,1997,15,12,948,10.5,5,1,6,4,1,1,1,0,3.2,2.4,1.1,3.5,10,26,42,0.47,0.09,0.57,0.38,0.47,0.3,0.11,0.41,0.23,0.34,Matches
286,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,22-112,2003,17,15,"1,170",13,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,12,42,8,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
287,Giovanni Bonfanti,it ITA,DF,Pisa,it Serie A,22-353,2003,9,6,494,5.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,9,12,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
288,Victor Boniface,ng NGA,"FW,MF",Werder Bremen,de Bundesliga,25-013,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,1.1,1.1,0.7,1.8,12,13,21,0,0.54,0.54,0,0.54,0.29,0.2,0.49,0.29,0.49,Matches
289,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,24-004,2002,17,13,"1,234",13.7,0,0,0,0,0,0,1,0,0,0,0.7,0.7,28,43,69,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
290,Ange-Yoan Bonny,fr FRA,FW,Inter,it Serie A,22-072,2003,12,5,437,4.9,4,3,7,4,0,0,0,0,1.8,1.8,1.8,3.5,10,12,42,0.82,0.62,1.44,0.82,1.44,0.36,0.37,0.73,0.36,0.73,Matches
291,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26-289,1999,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,Matches
292,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25-301,2000,17,9,844,9.4,3,0,3,3,0,0,2,0,1.6,1.6,0.3,1.9,6,9,38,0.32,0,0.32,0.32,0.32,0.17,0.03,0.2,0.17,0.2,Matches
293,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,28-048,1997,3,2,143,1.6,0,0,0,0,0,0,1,0,0,0,0,0,6,14,4,0,0,0,0,0,0,0,0,0,0,Matches
294,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,25-358,2000,10,8,656,7.3,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,1,22,3,0,0,0,0,0,0.02,0.08,0.09,0.02,0.09,Matches
295,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18-095,2007,15,13,"1,059",11.8,0,1,1,0,0,0,4,1,1.5,1.5,0.6,2,21,34,39,0,0.08,0.08,0,0.08,0.12,0.05,0.17,0.12,0.17,Matches
296,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,21-028,2004,2,1,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,3,12,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13,Matches
297,Badredine Bouanani,dz ALG,"FW,MF",Stuttgart,de Bundesliga,21-028,2004,9,4,316,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.8,16,10,24,0,0,0,0,0,0.16,0.08,0.23,0.16,0.23,Matches
